"EmployeeKey","ParentEmployeeKey","EmployeeNationalIDAlternateKey","ParentEmployeeNationalIDAlternateKey","FirstName","LastName","MiddleName","NameStyle","Title","HireDate","BirthDate","LoginID","EmailAddress","Phone","MaritalStatus","EmergencyContactName","EmergencyContactPhone","SalariedFlag","Gender","PayFrequency","BaseRate","VacationHours","SickLeaveHours","CurrentFlag","SalesPersonFlag","DepartmentName","EmployeePhoto","Position"
"1","18","14417807","446466105","Guy","Gilbert","R","False","Production Technician - WC60","28/01/2006 00:00:00","12/11/1981 00:00:00","AW\guy-gilbert","guy-gilbert@adventureworks.com","320-555-0195","M","Guy Gilbert","320-555-0195","False","M","1","12,4500","21","30","True","False","Production","System.Byte[]",""
"2","7","253022876","24756624","Kevin","Brown","F","False","Marketing Assistant","26/08/2006 00:00:00","01/12/1986 00:00:00","AW\kevin-brown","kevin-brown@adventureworks.com","150-555-0189","S","Kevin Brown","150-555-0189","False","M","2","13,4615","42","41","True","False","Marketing","System.Byte[]",""
"3","14","509647174","245797967","Roberto","Tamburello","","False","Engineering Manager","11/06/2007 00:00:00","12/06/1974 00:00:00","AW\roberto-tamburello","roberto-tamburello@adventureworks.com","212-555-0187","M","Roberto Tamburello","212-555-0187","True","M","2","43,2692","2","21","True","False","Engineering","System.Byte[]",""
"4","3","112457891","509647174","Rob","Walters","","False","Senior Tool Designer","05/07/2007 00:00:00","23/07/1974 00:00:00","AW\rob-walters","rob-walters@adventureworks.com","612-555-0100","S","Rob Walters","612-555-0100","False","M","2","29,8462","48","80","True","False","Tool Design","System.Byte[]",""
"5","3","112457891","509647174","Rob","Walters","","False","Senior Tool Designer","05/07/2007 00:00:00","23/07/1974 00:00:00","AW\rob-walters","rob-walters@adventureworks.com","612-555-0100","S","Rob Walters","612-555-0100","False","M","2","29,8462","48","80","True","False","Tool Design","System.Byte[]",""
"6","267","480168528","974026903","Thierry","D'Hers","B","False","Tool Designer","11/07/2007 00:00:00","26/02/1959 00:00:00","AW\thierry-dhers","thierry-dhers@adventureworks.com","168-555-0183","M","Thierry D'Hers","168-555-0183","False","M","2","25,0000","9","24","True","False","Tool Design","System.Byte[]",""
"7","112","24756624","295847284","David","Bradley","M","False","Marketing Manager","20/07/2007 00:00:00","17/10/1974 00:00:00","AW\david-bradley","david-bradley@adventureworks.com","913-555-0172","S","David Bradley","913-555-0172","True","M","2","37,5000","40","40","True","False","Marketing","System.Byte[]",""
"8","112","24756624","295847284","David","Bradley","M","False","Marketing Manager","20/07/2007 00:00:00","17/10/1974 00:00:00","AW\david-bradley","david-bradley@adventureworks.com","913-555-0172","S","David Bradley","913-555-0172","True","M","2","37,5000","40","40","True","False","Marketing","System.Byte[]",""
"9","23","309738752","277173473","JoLynn","Dobney","M","False","Production Supervisor - WC60","26/07/2007 00:00:00","16/08/1955 00:00:00","AW\jolynn-dobney","jolynn-dobney@adventureworks.com","903-555-0145","S","JoLynn Dobney","903-555-0145","False","F","2","25,0000","82","61","True","False","Production","System.Byte[]",""
"10","189","690627818","33237992","Ruth","Ellerbrock","Ann","False","Production Technician - WC10","06/08/2007 00:00:00","03/01/1956 00:00:00","AW\ruth-ellerbrock","ruth-ellerbrock@adventureworks.com","145-555-0130","M","Ruth Ellerbrock","145-555-0130","False","F","1","13,4500","83","61","True","False","Production","System.Byte[]",""
"11","3","695256908","509647174","Gail","Erickson","A","False","Design Engineer","06/08/2007 00:00:00","27/04/1952 00:00:00","AW\gail-erickson","gail-erickson@adventureworks.com","849-555-0139","M","Gail Erickson","849-555-0139","True","F","2","32,6923","5","22","True","False","Engineering","System.Byte[]",""
"12","189","912265825","33237992","Barry","Johnson","K","False","Production Technician - WC10","07/08/2007 00:00:00","25/10/1955 00:00:00","AW\barry-johnson","barry-johnson@adventureworks.com","206-555-0180","S","Barry Johnson","206-555-0180","False","M","1","13,4500","88","64","True","False","Production","System.Byte[]",""
"13","3","998320692","509647174","Jossef","Goldberg","H","False","Design Engineer","24/08/2007 00:00:00","09/10/1958 00:00:00","AW\jossef-goldberg","jossef-goldberg@adventureworks.com","122-555-0189","M","Jossef Goldberg","122-555-0189","True","M","2","32,6923","6","23","True","False","Engineering","System.Byte[]",""
"14","112","245797967","295847284","Terri","Duffy","Lee","False","Vice President of Engineering","31/08/2007 00:00:00","01/03/1971 00:00:00","AW\terri-duffy","terri-duffy@adventureworks.com","819-555-0175","S","Terri Duffy","819-555-0175","True","F","2","63,4615","1","20","True","False","Engineering","System.Byte[]",""
"15","189","844973625","33237992","Sidney","Higa","M","False","Production Technician - WC10","02/09/2007 00:00:00","30/03/1956 00:00:00","AW\sidney-higa","sidney-higa@adventureworks.com","424-555-0189","M","Sidney Higa","424-555-0189","False","M","1","13,4500","84","62","True","False","Production","System.Byte[]",""
"16","23","233069302","277173473","Taylor","Maxwell","R","False","Production Supervisor - WC50","08/09/2007 00:00:00","31/10/1955 00:00:00","AW\taylor-maxwell","taylor-maxwell@adventureworks.com","508-555-0165","M","Taylor Maxwell","508-555-0165","False","M","2","25,0000","79","59","True","False","Production","System.Byte[]",""
"17","189","132674823","33237992","Jeffrey","Ford","L","False","Production Technician - WC10","20/09/2007 00:00:00","09/02/1956 00:00:00","AW\jeffrey-ford","jeffrey-ford@adventureworks.com","984-555-0185","S","Jeffrey Ford","984-555-0185","False","M","1","13,4500","85","62","True","False","Production","System.Byte[]",""
"18","23","446466105","277173473","Jo","Brown","A","False","Production Supervisor - WC60","27/09/2007 00:00:00","08/05/1956 00:00:00","AW\jo-brown","jo-brown@adventureworks.com","632-555-0129","S","Jo Brown","632-555-0129","False","F","2","25,0000","80","60","True","False","Production","System.Byte[]",""
"19","189","565090917","33237992","Doris","Hartwig","M","False","Production Technician - WC10","09/10/2007 00:00:00","03/11/1955 00:00:00","AW\doris-hartwig","doris-hartwig@adventureworks.com","328-555-0150","M","Doris Hartwig","328-555-0150","False","F","1","13,4500","86","63","True","False","Production","System.Byte[]",""
"20","23","494170342","277173473","John","Campbell","T","False","Production Supervisor - WC60","16/10/2007 00:00:00","07/03/1956 00:00:00","AW\john-campbell","john-campbell@adventureworks.com","435-555-0113","M","John Campbell","435-555-0113","False","M","2","25,0000","81","60","True","False","Production","System.Byte[]",""
"21","189","9659517","33237992","Diane","Glimp","R","False","Production Technician - WC10","27/10/2007 00:00:00","28/10/1955 00:00:00","AW\diane-glimp","diane-glimp@adventureworks.com","202-555-0151","M","Diane Glimp","202-555-0151","False","F","1","13,4500","87","63","True","False","Production","System.Byte[]",""
"22","177","443968955","578935259","Steven","Selikoff","T","False","Production Technician - WC30","01/07/2008 00:00:00","12/12/1976 00:00:00","AW\steven-selikoff","steven-selikoff@adventureworks.com","925-555-0114","M","Steven Selikoff","925-555-0114","False","M","1","9,5000","41","40","True","False","Production","System.Byte[]",""
"23","112","277173473","295847284","Peter","Krebs","J","False","Production Control Manager","01/07/2008 00:00:00","03/06/1982 00:00:00","AW\peter-krebs","peter-krebs@adventureworks.com","913-555-0196","M","Peter Krebs","913-555-0196","True","M","2","24,5192","43","41","True","False","Production Control","System.Byte[]",""
"24","201","835460180","332349500","Stuart","Munson","V","False","Production Technician - WC45","02/07/2008 00:00:00","13/04/1962 00:00:00","AW\stuart-munson","stuart-munson@adventureworks.com","413-555-0136","S","Stuart Munson","413-555-0136","False","M","1","10,0000","84","62","True","False","Production","System.Byte[]",""
"25","201","687685941","332349500","Greg","Alderson","F","False","Production Technician - WC45","02/07/2008 00:00:00","15/11/1975 00:00:00","AW\greg-alderson","greg-alderson@adventureworks.com","332-555-0150","S","Greg Alderson","332-555-0150","False","M","1","10,0000","85","62","True","False","Production","System.Byte[]",""
"26","188","498138869","60114406","David","Johnson","N","False","Production Technician - WC30","02/07/2008 00:00:00","02/06/1979 00:00:00","SQLSERVER2017\LabUser","david-johnson@adventureworks.com","166-555-0162","S","David Johnson","166-555-0162","False","M","1","9,5000","25","32","True","False","Production","System.Byte[]",""
